PktNumber,Appearance,Direction,Type,Component,Edge,Filter,OriginalSize,LoggedSize
1,11,Tx ,WiFi ,51,2,0,84,84 
1,12,Tx ,WiFi ,12,1,0,84,84 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,1,Rx ,WiFi ,12,1,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,2,Rx ,WiFi ,51,2,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,3,Rx ,WiFi ,51,1,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,4,Rx ,WiFi ,50,2,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,5,Rx ,WiFi ,50,1,0,1324,128 
1,6,Rx ,WiFi ,49,2,0,1324,128 
1,6,Rx ,WiFi ,49,2,0,1324,128 
1,6,Rx ,WiFi ,49,2,0,1324,128 
1,6,Rx ,WiFi ,49,2,0,1324,128 
1,6,Rx ,WiFi ,49,2,0,1324,128 
